#       nodes    n_area_A
#  ----------  ----------
         3821    3.841929
         3822    3.554345
         4920    6.706894
         4955    6.605316
         4988    5.330033
         4989    5.789358
         5020    4.886561
         5021    5.549174
         5022    5.089427
         5053    5.871093
         5054    5.825156
         5055    4.904869
         5084    4.762612
         5085     5.49876
         5086    5.379387
         5087    4.588781
         5088    4.809968
         5089    5.253206
         5090    5.672608
         5091    5.629456
         5092     5.39807
         5114    3.411476
         5115    4.261305
         5116    4.981986
         5117    4.726057
         5118    4.452962
         5122    5.406908
         5144    3.642307
         5145    4.326489
         5146    4.642645
         5147    4.421303
         5148    4.445827
         5173    4.027383
         5174     4.47253
         5175    4.586133
         5176    4.358824
         5201    4.185452
         5202     4.27835
         5203    4.126375
         5204    4.097357
         5205    4.199611
         5206     4.12122
         5227    3.599959
         5228    3.751371
         5229    3.853676
         5230    3.971819
         5231    4.082659
         5232    4.062524
         5254      3.6104
         5255    3.900667
         5256     3.97963
         5257    3.950212
         5280     3.68882
         5281    3.671695
        30834     3.46771
        30835    3.809765
        30892    3.639724
