#       nodes    n_area_A
#  ----------  ----------
         6102    3.686122
         6103    3.574772
         6104    3.529801
         6105     3.51352
         6152    3.901124
         6153    3.765256
         6154    3.686733
         6155    3.692164
         6156    3.416856
         6157    2.777821
         6201    4.006199
         6202    3.889722
         6203    3.855544
         6204    3.811728
         6205    3.681301
         6206    3.050114
         6207    2.926154
         6245    3.935255
         6246    4.111956
         6251    3.764442
         6252    3.918457
         6253    3.865547
         6254    3.597816
         6255    3.125961
         6256    3.280282
         6292    4.413036
         6293    4.622034
         6294    4.896298
         6295    4.364249
         6296     3.76153
         6297    3.250613
         6298    3.394793
         6299    3.847784
         6300    3.987337
         6301    3.857028
         6339    4.793159
         6340    5.123232
         6341     5.20093
         6342    4.867715
         6343    4.454199
         6344    3.893857
         6345    3.793822
         6386    5.184446
         6387    5.188898
         6388    5.042633
         6389    4.566277
         6390    3.728882
         6431    5.163221
         6432    5.056191
         6433    4.692875
         6434    3.741467
         6435    3.457362
         6436    4.206317
         6475    5.250408
         6476    4.766506
         6477    4.173963
         6478    3.580995
         6518    5.413339
         6519    4.795445
         6520    4.264575
