#       nodes    n_area_A
#  ----------  ----------
         3829      2.1343
         3830    2.595702
         3831    3.596062
         3832    7.192022
         3833    9.749859
         3834     7.60763
         3835    5.353354
         5421    2.513157
         5436    3.420231
         5437    2.333383
         5450    5.981483
         5451    3.185304
         5452    2.456278
         5464    4.762786
         5465    3.605308
         5466    4.937791
         5476    5.312069
         5477    4.880296
         5478     4.87006
         5479     6.79195
         5489    3.521751
         5490    4.216649
         5491     5.61213
         5501    2.637122
         5502    3.899903
        30821    6.911232
        30822    9.964358
        30823     11.5886
        30824    8.266674
        30825    5.036644
        30826    3.762076
        30827    2.742802
        30879    9.134551
        30880     11.6182
        30881    10.88117
        30882    8.401062
        30883    6.509066
        30884    4.925198
        30885    3.239778
        30936     11.1745
        30937    11.12986
        30938    9.272764
        30939    8.298324
        30940     7.16133
        30941    5.135412
        30942    2.634952
        30993     8.77986
        30994    7.668476
        30995    7.193532
        30996    6.386528
        30997    4.556151
        30998    1.971317
        31048    7.623105
        31049    6.277718
        31050    5.523799
        31051    5.041198
        31052     3.62611
        31053    1.410815
        31103    5.070253
        31104    4.498935
        31105    3.855235
        31106     2.75208
