#       nodes    n_area_A
#  ----------  ----------
         3829    3.505769
         3830    3.526171
         3831    3.526044
         3832    2.970516
         3833    3.012309
         3834    3.495065
         3835     3.37351
         5421    3.403265
         5436    3.419493
         5437    3.406982
         5450    2.728375
         5451     2.68922
         5452    3.082224
         5464    3.160312
         5465    2.380606
         5466    2.332655
         5476    3.625599
         5477    3.494924
         5478    3.220059
         5479    2.976424
         5489    3.421557
         5490    3.312037
         5491    3.326532
         5501    3.336787
         5502    3.234354
        30821    3.816722
        30822    3.653669
        30823    3.367449
        30824    3.683827
        30825    3.838793
        30826    3.696556
        30827    3.557858
        30879    4.084316
        30880    3.547704
        30881      3.6263
        30882      3.6793
        30883    3.573848
        30884    3.558597
        30885    3.412884
        30936    3.698441
        30937    3.465391
        30938    3.798925
        30939    3.575713
        30940    3.222637
        30941     3.05364
        30942    2.905249
        30993     3.90624
        30994    4.050996
        30995    3.785365
        30996     3.16268
        30997    2.650344
        30998     2.34624
        31048    4.046274
        31049    4.016452
        31050    3.882975
        31051    3.459043
        31052    2.776188
        31053     2.35988
        31103    3.867378
        31104    3.826875
        31105     3.65612
        31106    3.123342
